符合條件商品
資料日期：2026年  9月 24日
策略,	RS加權
"序號","代碼","商品","成交","漲幅%","總量","歐奈爾RS評分(1-99)","距最高收盤跌幅(%)","處置股(1=是)","20日乖離率(%)","月線斜率(%)","近5日漲幅(%)","近10日漲幅(%)","近20日漲幅(%)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","布林通道位階","產業","細產業","所有細產業",產業地位
32	,"2032.TW","新鋼","18.55","5.7","3574","74","0.54","0","8.23","5.54","10.09","10.09","8.16","10.97","9.91","6.28","4.31","1.13","17.47","上市鋼鐵","不鏽鋼剪裁加工","不鏽鋼,不鏽鋼剪裁加工",以內銷為主的不鏽鋼裁剪加工廠
33	,"2033.TW","佳大","36.8","-1.34","3053","97","1.34","0","27.66","2.39","19.29","33.33","57.6","-13.27","-6.52","-3.66","-0.99","1.18","9.11","上市鋼鐵","線材盤元","線材盤元",致力於鋼線鋼纜產品業務
34	,"2034.TW","允強","22.8","3.64","8644","70","0","0","8.75","0.59","8.31","11.49","12.04","20.59","13.79","15.56","15.41","10.74","14.16","上市鋼鐵","不鏽鋼管","不鏽鋼,不鏽鋼剪裁加工,不鏽鋼管",全球前五大不鏽鋼管製造商及不鏽鋼加工廠
35	,"2069.TW","運錩","25.7","3.21","1992","89","0","0","11.81","0.84","6.2","11.74","17.62","7.03","0.65","3.42","4.93","4.78","8.09","上市鋼鐵","不鏽鋼剪裁加工","不鏽鋼,不鏽鋼剪裁加工",台灣不鏽鋼材料加工製造廠
36	,"2103.TW","台橡","27.8","-0.36","1545","88","3.47","0","1.86","0.01","-1.42","7.54","0.18","-8.22","4.57","14.15","1.15","4.74","2.42","上市橡膠","合成橡膠","合成橡膠,熱可塑橡膠,橡膠工業",全球前七大橡膠生產製造商
37	,"2104.TW","國際中橡","11.15","-4.29","9829","60","18.61","0","5.89","0.33","3.72","5.19","6.7","-27.4","7.35","8.8","3.78","-2.77","8.76","上市橡膠","碳煙","碳煙,橡膠工業",全球市佔率前五大的碳煙公司
38	,"2221.TW","大甲","164","3.47","1652","99","0","1","56","4.44","41.38","69.95","119.84","-6.66","-2.97","-0.73","-0.73","0.02","10.69","上櫃其他","不鏽鋼品","不鏽鋼,不鏽鋼品",台灣最大不鏽鋼管配件製造商
39	,"2241.TW","艾姆勒","43.6","-0.11","4744","79","15.5","0","22.13","1.17","29.38","25.29","23.34","-1.75","-3.2","-3.09","-2.75","-4.74","12.64","上市汽車","汽機車零組件","汽機車零組件",主要生產電動車及油電混合車的逆變器散熱產品
40	,"2301.TW","光寶科","287","1.23","9402","88","9.61","0","-1.5","-0.24","3.24","-1.37","-4.65","3.02","-6.55","-7.85","-6.44","3.41","-1.73","上市電腦及週邊設備","電源供應器","車用電子,車用鋰電池,LED,LED封裝,LED照明產品,電源供應器,無線充電,機殼,電子零件元件,鍵盤,光碟機／燒錄機,無線網路設備系統(WLAN),網通設備,電池,週邊產品,光通訊,太陽能,PV Inverter,電腦系統業,光纖被動元件",台灣電源供應器大廠
41	,"2302.TW","麗正","46.05","0.66","9238","95","16.88","0","6.5","0.24","4.19","8.99","4.66","-5.43","-3.94","0.81","-0.32","-1.58","9.6","上市半導體","二極體","分離式元件,二極體,電晶體",台灣整流二極體廠商
42	,"2303.TW","聯電","154","-3.75","157009","97","13.73","0","8.66","1.27","4.41","8.07","29.96","-29.46","2.65","4.57","5.37","-2.3","5.63","上市半導體","晶圓代工","晶圓代工,IC製造",全球前十大晶圓代工廠之一
43	,"2305.TW","全友","62.9","-1.1","4244","99","1.1","1","46.53","4.05","15.84","63.38","113.58","-6.2","-4.02","1.43","1.92","-1.4","8.04","上市電腦及週邊設備","設備儀器商","診斷與監測用醫材,醫學影像裝置,掃瞄器,設備儀器商,週邊產品",從事數位掃描器及光通訊檢測設備製造
44	,"2317.TW","鴻海","250.5","-2.15","34510","64","18.93","0","-0.31","-0.03","0","-0.2","-0.6","-58.06","-6.63","-3.06","-0.04","0.03","-1.34","上市其他電子","電子製造服務","電動車,車輛整車,車用電子,連接器,電子零件元件,桌上型電腦,伺服器,筆記型電腦製造,顯示器,網通設備,衛星通訊設備,手機,手機製造,雲端科技,Internet技術與基礎設施,視訊轉換相關,遊戲機,平板電腦,語音助理,消費性電子產品,週邊產品,印表機,AI伺服器,ASIC伺服器,電子書閱讀器,穿戴式裝置,電子製造服務,遊戲產業,電腦系統業,家電,液晶電視,機器人",全球最大EMS電子專業代工廠
45	,"2323.TW","中環","10.8","0","3157","64","17.56","0","0.44","-0.05","0.47","2.37","-0.92","6.24","2.54","5.33","-1.3","0.56","1.59","上市光電","光碟片","非揮發性記憶體,光碟片,IC製造,週邊產品",全球前三大光碟片製造商之一
46	,"2330.TW","台積電","2475","-1","14558","83","1.39","0","1.75","0.13","2.06","1.02","2.7","-27.38","7.91","-6.14","-0.76","-5.33","5.73","上市半導體","晶圓代工","晶圓代工,IC製造",全球第一大晶圓代工廠
47	,"2338.TW","光罩","47.1","1.4","4013","59","18.65","0","7.19","0.91","-3.48","3.18","20.15","-8.72","-2.01","-2.94","-2.2","-4.47","3.45","上市半導體","光罩","光罩,IC製造",光聚晶電旗下專業光罩廠
48	,"2342.TW","茂矽","48.2","3.99","43473","80","18.58","0","18.65","-23.79","21.72","22.96","20.05","-17.11","-4.74","-3.83","-2.89","-3.2","15.47","上市半導體","晶圓代工","晶圓代工,IC製造",功率元件及電源管理IC之晶圓代工廠
49	,"2347.TW","聯強","94.5","0","2371","77","2.68","0","6.08","0.43","5.59","6.42","8.87","6.83","14.45","11.88","2.99","0.18","12.37","上市電子通路","電腦通路商","電腦通路商,手機零售通路商,IC零組件通路商,電子元件代理商,電子通路",亞太最大、全球前三大3C產品通路商
50	,"2351.TW","順德","219.5","-2.88","5399","93","14.59","0","-6.64","-0.43","-7.77","-6.79","-8.54","7.39","-0.2","1.83","1.58","3.27","-8.95","上市半導體","導線架","傳產其他,文具,導線架,封測服務與材料",全球導線架前五大供應商之一
51	,"2352.TW","佳世達","29","0","2248","42","18.08","0","0.53","0.17","0","0","3.57","-0.4","6.07","6.78","7.68","-4.82","2.06","上市電腦及週邊設備","LCD顯示器","醫療服務,醫療耗材,診斷與監測用醫材,醫學影像裝置,其他醫療器材,掃瞄器,顯示器,LCD顯示器,網通設備,週邊產品,工業電腦,安全監控,電子製造服務,電腦系統業",LCD顯示器及投影機大廠
52	,"2354.TW","鴻準","65.9","0","6194","64","9.97","0","1.05","0.12","-0.6","1.38","2.33","-0.95","-3.81","4.42","5.96","9.46","4.65","上市其他電子","鎂鋁合金","電子零件元件,散熱模組,鎂鋁合金,電子製造服務,筆記型電腦用散熱模組,電腦系統業",鴻海旗下散熱模組及鋁鎂合金廠
53	,"2357.TW","華碩","953","-0.52","1297","87","7.02","0","-1.54","-0.08","0.53","-3.64","-1.55","1.16","-1.13","-4.26","0.22","8.12","-2.61","上市電腦及週邊設備","筆記型電腦","桌上型電腦,筆記型電腦,手機,主機板,智慧型手機,週邊產品,AI伺服器,繪圖卡,穿戴式裝置,智慧手錶,電競筆電,教育筆電,電競週邊,電腦系統業",全球最大自有品牌主機板兼NB廠
54	,"2360.TW","致茂","2295","-1.29","1992","95","12.57","0","5.98","0.71","10.07","5.28","15.33","2.11","3.35","1","1.6","-0.28","4.57","上市其他電子","量測儀器","半導體製程設備,設備儀器商,量測儀器",全球知名的自動測試設備品牌大廠
55	,"2376.TW","技嘉","361.5","-0.96","3779","74","9.4","0","1.55","0.23","1.83","2.84","4.78","-1.88","15.47","12.13","8.34","5.66","3.82","上市電腦及週邊設備","主機板","伺服器,筆記型電腦,主機板,週邊產品,AI伺服器,繪圖卡,電競筆電,電競週邊,電腦系統業",全球前四大主機板廠商之一
56	,"2377.TW","微星","151.5","0.33","2626","77","10.36","0","-0.83","0.21","-0.98","1.68","4.48","9.41","2.43","10.89","7.55","6.76","-1.74","上市電腦及週邊設備","主機板","桌上型電腦,伺服器,筆記型電腦,主機板,週邊產品,繪圖卡,電競筆電,電競週邊,電腦系統業",台灣知名主機板及電競筆電廠
57	,"2379.TW","瑞昱","749","-1.58","2830","75","16.78","0","3.6","0.13","4.76","7.61","2.6","-13.64","5.82","7.35","0.77","-0.34","6.64","上市半導體","網路通訊IC","網路卡IC,集線器IC,無線網路IC,IC設計,網路通訊IC,LCD控制IC,PC週邊IC,影音IC,安全監控IC,數位電視IC",全球超高速乙太網路IC設計龍頭廠商
58	,"2382.TW","廣達","338.5","-0.88","10593","60","18.82","0","-0.14","0.07","-1.6","0.74","1.5","-19.66","-10.92","1.02","2.47","-3.48","-0.48","上市電腦及週邊設備","筆記型電腦製造","伺服器,筆記型電腦製造,AI伺服器,電子製造服務,電腦系統業",全球前五大NB代工廠
59	,"2392.TW","正崴","41.85","-0.71","1408","55","17.94","0","-3.58","-0.55","-0.59","-3.57","-10.29","-2.77","-10.53","-6.97","-5.27","1.22","-5.13","上市電子零組件","連接器","工業用電池,車用鋰電池,電源供應器,連接器,消費用電池,電子零件元件,3C通路商,電子通路,電池,週邊產品,連接線材",生產3C產品連接器、電池模組、電源管理模組之廠商
60	,"2393.TW","億光","63.4","1.93","1786","47","14.09","0","-0.48","-0.6","0.32","2.59","-4.66","16.35","-1.88","-1.02","-8.91","-4.51","-1.08","上市光電","LED封裝","LED,LED封裝,LED照明產品",全球前十大LED封裝廠
61	,"2395.TW","研華","722","3","2763","93","0","0","5.29","0.34","5.25","9.56","6.96","16.43","8.24","8.14","2.27","1.95","9.55","上市電腦及週邊設備","工業電腦","工業電腦",全球工業電腦龍頭廠商
62	,"2399.TW","映泰","47.3","0.42","1727","89","14","0","1.44","0.08","-3.47","4.3","1.5","-7.64","-2.9","2.93","0.26","-1.48","2.59","上市電腦及週邊設備","主機板","主機板,工業電腦,繪圖卡,電腦系統業",台灣主機板、顯示卡廠商
63	,"2404.TW","漢唐","1285","2.8","2827","76","7.22","0","18.57","0.98","24.76","21.23","19.53","18.89","25.07","17.81","8.07","1.2","14.06","上市其他電子","廠務工程","電子其他,廠務工程",台積電最大的無塵室供應商
64	,"2408.TW","南亞科","503","-2.33","40245","99","7.37","0","-0.85","-0.37","3.07","-2.33","-7.02","-47.66","5.1","-2.19","-3.54","0.61","-1.03","上市半導體","DRAM","DRAM,IC製造",台塑集團旗下DRAM大廠
65	,"2409.TW","友達","34.2","-1.44","542503","92","6.68","0","15.13","1.53","14","9.62","35.45","-14.36","8.93","3.83","6.72","2.4","7.49","上市光電","TFT-LCD","面板業,中小尺吋面板,TFT-LCD,OLED,觸控面板",全球前五大面板大廠之一
66	,"2412.TW","中華電","145","-0.34","6312","59","1.02","0","2.95","0.34","0","3.94","7.01","13.45","13.12","25.72","19.73","-0.5","5.91","上市通信網路","電信／數據服務","多軌道衛星,網通設備,電信/數據服務,通訊服務,衛星通訊服務,行動通訊",台灣電信業龍頭
67	,"2413.TW","環科","51.3","-1.72","2308","90","17.92","0","5.25","0.78","-3.39","1.18","17.26","-7.06","-0.6","-0.39","-1.76","-2.39","3.2","上市電子零組件","電源供應器","電源供應器,變壓器,被動元件,電感,電子零件元件,電子製造服務,電腦系統業",電源供應器及變壓器製造廠商
68	,"2421.TW","建準","167","2.45","1840","79","11.87","0","-0.03","0.22","3.09","1.21","4.7","15.98","9.17","4.05","8.55","8.95","-0.05","上市電子零組件","散熱風扇馬達","散熱風扇馬達,散熱模組",PC散熱風扇知名廠商
69	,"2426.TW","鼎元","96.9","-0.92","28496","99","9.86","0","-1.62","0.02","0.94","0.83","0.31","-7.03","0.02","-0.62","-2.48","-0.9","-2.08","上市光電","LED晶粒","LED,LED晶粒,MicroLED,分離式元件,二極體,電晶體,光通訊,光纖主動元件",台灣大型LED晶粒切割、檢測廠
70	,"2436.TW","偉詮電","72.4","4.02","8606","74","10.06","0","6.4","0.37","7.1","6.16","7.42","8.33","1.68","1.3","0.93","-2.36","10.96","上市半導體","類比IC","馬達IC,類比IC,IC設計,消費性IC,PC週邊IC,MCU,LED驅動IC,IC零組件通路商,電子通路",台灣類比IC暨消費性IC設計廠商
71	,"2441.TW","超豐","124","-0.8","2830","85","14.48","0","4.93","0.42","4.64","7.83","8.77","-11.06","12.53","12.22","8.51","0.48","6.31","上市半導體","IC封裝","IC封裝,IC測試,IC封裝測試",全球記憶體封測廠
72	,"2444.TW","兆勁","14.8","-1","2121","76","1.33","0","22.57","1.56","21.31","32.14","33.33","3.06","2.87","2.96","1.69","-2.5","10.2","上市通信網路","無線網路設備系統(WLAN)","用戶端設備,無線網路設備系統(WLAN),網通設備,物聯網裝置",台灣無線網路設備代工廠
73	,"2449.TW","京元電子","311","2.3","27019","83","12.15","0","12.77","1.16","17.36","14.55","25.66","7.59","17.82","13.57","7.07","-3.3","9.67","上市半導體","IC測試","IC測試,IC封裝測試",全球IC測試領域龍頭公司
74	,"2454.TW","聯發科","5285","1.93","7817","98","0","0","14.84","1.57","17.44","11.97","36.74","1.3","12.35","6.44","6.5","0.21","9.56","上市半導體","手機晶片相關","DSL晶片組,無線網路IC,衛星導航晶片組,數據機晶片組,CPU,IC設計,網路通訊IC,消費性IC,光碟機驅動IC,LCD控制IC,影音IC,數位電視IC,手機晶片相關",全球智慧型手機晶片大廠
75	,"2455.TW","全新","554","0.36","1641","97","3.15","1","5.42","1.16","3.75","4.14","27.94","21.02","-3.35","-1.96","3.47","1.62","4.84","上市通信網路","光通訊元件磊晶","砷化鎵相關,第三類半導體,光通訊元件磊晶,IC製造",全球前三大砷化鎵HBT磊晶片廠
76	,"2464.TW","盟立","195.5","0.26","13518","96","11.94","0","1.53","-0.4","8.91","1.03","-7.35","-6.3","-0.23","-3.96","-3.56","0.63","1.31","上市其他電子","半導體製程設備","半導體製程設備,設備儀器商,面板設備,自動化設備,機器人,產業機械",自動化系統整合與智慧製造的領導商
77	,"2465.TW","麗臺","88.9","-0.34","760","86","15.33","0","-5.07","-0.35","-0.34","-3.05","-6.81","-6.84","-3.09","-3.62","-1.48","0.66","-5.22","上市電腦及週邊設備","繪圖卡","繪圖卡,電腦系統業",台灣繪圖卡廠商
78	,"2466.TW","冠西電","119.5","5.29","2402","93","2.05","0","14.63","0.68","16.59","17.73","13.27","16.36","5.07","3.09","-0.28","-1.32","12.54","上市光電","LED照明產品","LED,LED照明產品,光通訊,光纖被動元件",LED裝飾燈及光電元件製造商
79	,"2468.TW","華經","46.25","1.76","1796","69","12.74","1","20.61","1.59","10.91","42.09","35.04","9.08","0.54","0.71","0.6","0.43","6.96","上市資訊服務","系統整合","系統整合,軟體業",以數位影像處理為主的系統整合商
80	,"2474.TW","可成","206.5","-1.2","1882","61","19.65","0","-0.57","-0.02","-0.96","1.23","-0.48","-0.37","16.72","17.68","15.66","5.8","-2.26","上市其他電子","鎂鋁合金","電子零件元件,鎂鋁合金",台灣知名的金屬機殼製造大廠
