符合條件商品
資料日期：2026年  9月 24日
策略,	RS加權
"序號","代碼","商品","成交","漲幅%","總量","歐奈爾RS評分(1-99)","距最高收盤跌幅(%)","處置股(1=是)","20日乖離率(%)","月線斜率(%)","近5日漲幅(%)","近10日漲幅(%)","近20日漲幅(%)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","布林通道位階","產業","細產業","所有細產業",產業地位
180	,"4923.TW","力士","64","-4.05","3081","88","4.05","0","14.21","0.72","15.73","16.15","14.29","-13.02","0.3","0.57","1.23","1.2","8.73","上櫃半導體","電晶體","分離式元件,二極體,電晶體",MOSFET及類比IC之設計和生產商
181	,"4931.TW","新盛力","241.5","1.26","1314","84","13.75","0","-0.92","-0.49","3.65","-1.02","-9.04","7.23","-12.71","-12.06","-7.03","-1.53","-1.02","上櫃電腦及週邊設備","工業用電池","工業用電池,車用鋰電池,電池",台灣鋰電池模組之生產商
182	,"4938.TW","和碩","91.3","0","7882","74","7.31","0","0.43","0.1","1","0.33","2.13","3.37","1.83","-0.64","1.8","8.48","1.28","上市電腦及週邊設備","電子製造服務","車用電子,桌上型電腦,伺服器,筆記型電腦製造,網通設備,手機,手機製造,主機板,視訊轉換相關,遊戲機,平板電腦,消費性電子產品,AI伺服器,穿戴式裝置,電子製造服務,遊戲產業,電腦系統業",全球前十大EMS廠之一
183	,"4956.TW","光鋐","44.5","2.18","22783","89","18.65","0","19.25","3.03","14.84","31.66","23.61","-3.37","0.53","1.84","0.87","0.11","8.48","上市光電","LED晶粒","LED,LED晶粒,LED磊晶",泛鴻海集團LED磊晶廠
184	,"4967.TW","十銓","272.5","0.18","1082","94","10.51","0","-0.98","-0.05","0.55","-1.45","-1.09","-12.57","3.4","0.67","3.2","0.58","-3.74","上市半導體","記憶體模組","電子零件元件,DRAM模組,Flash模組,記憶體模組",全球知名DRAM模組廠
185	,"5230.TW","雷笛克光學","23.3","6.39","2254","76","2.92","0","21.78","1.4","24.6","22.63","29.44","17.26","7.21","6.46","3.37","0.95","12.87","上櫃光電","LED照明產品","LED,LED照明產品,模具沖壓,電子零件元件",主要從事LED二次光學透鏡之研發、製造及生產
186	,"5285.TW","界霖","89.9","-2.49","1237","86","18.27","0","3.5","0.34","1.35","7.28","7.02","-9.22","-2.24","2.34","0.41","3.02","3.98","上市半導體","導線架","導線架,封測服務與材料",台灣功率單體及光電導線架供應商
187	,"5465.TW","富驊","34.2","6.71","2104","77","0","0","31.79","1.96","40.74","41.61","41.32","-1.38","2.52","2.49","2.53","1.63","13.32","上櫃電腦及週邊設備","機殼","電源供應器,機殼,電子零件元件",偉訓轉投資之電腦、伺服器機殼廠
188	,"5608.TW","四維航","17","-1.16","2439","66","18.07","0","0.34","0.03","0.59","0.59","0.59","0.98","19.88","10.9","2.93","0.22","0.96","上市航運業","散裝航運","散裝航運,運輸事業",以輕型散裝船為主的散裝航運業者
189	,"5876.TW","上海商銀","48.95","-0.61","3026","71","2","0","2.63","0.62","-2","2.19","13.7","3.04","4.99","13.35","15.47","13.54","2.82","上市金融保險","銀行","銀行,金融業",唯一自大陸遷台復業的民營銀行
190	,"5880.TW","合庫金","26.45","-1.12","14691","62","4.17","0","-1.01","0.26","-3.99","-1.49","5.59","-19.66","-2.98","11.79","18.36","17.05","-2.17","上市金融保險","金控","銀行,壽險,票券,證券,投信,金控,資產管理,金融業",具有國營背景的金控公司，金融資產規模排名前六大
191	,"6026.TW","福邦證","15.85","-0.63","650","72","17.88","0","3.39","0.29","2.26","4.28","6.02","-0.77","17.62","16.69","11.96","-0.65","8.33","上櫃金融","證券","證券,金融業",台灣小型綜合型上券商，以承銷及資產管理為重心
192	,"6108.TW","競國","24.4","1.67","1140","87","6.15","0","4.03","0.13","0.41","4.72","2.52","12.63","1.14","-2.07","-1.72","2.15","5.47","上市電子零組件","印刷電路板","印刷電路板,印刷電路板相關",台灣CMOS sensor載板最大供應廠
193	,"6112.TW","邁達特","47.7","-1.04","2137","55","13.74","0","1.45","0.23","-2.15","6.47","4.84","-15.44","-0.88","-0.8","-0.32","2.16","1.54","上市資訊服務","系統整合","系統整合,軟體業,軟體通路／代理",資訊應用軟硬體服務供應中介之加值型通路商
194	,"6122.TW","擎邦","58.2","5.43","2734","74","7.18","0","13.71","-6.83","13.45","15.48","19.51","26.59","20.94","20.96","17.69","10.32","15.4","上櫃電機機械","工程顧問","配電工程,電力設備,基礎建設,水電消防工程,營造工程,工程顧問",整廠工程之承攬、規劃、設計、施工服務廠商
195	,"6133.TW","金橋","25.95","-0.38","2307","79","10.36","0","6.23","0.57","-0.38","17.42","11.85","-7.15","1.23","4.68","2.65","1.25","4.48","上市電子零組件","連接線材","電子零件元件,連接線材",經營電腦週邊及高頻通訊為主的連接線廠
196	,"6141.TW","柏承","51.8","0","1743","97","12.05","0","-0.59","-0.3","4.65","-6.5","-5.65","-0.57","-12.13","-16.83","-9.39","-2.61","-0.48","上市電子零組件","印刷電路板","印刷電路板,印刷電路板相關",少量多樣的利基型PCB廠
197	,"6148.TW","驊宏資","39.2","4.95","6819","63","17.12","0","20.12","3.17","8.14","39.01","38.76","0.67","-0.23","0.32","0.44","-0.12","6.82","上櫃資訊服務","系統整合","系統整合,電腦通路商,電子通路,軟體業",金融及公共事業SI廠
198	,"6168.TW","宏齊","44","6.8","7627","92","0","1","34.6","2.24","24.47","47.65","48.4","22.7","5.61","10.13","7.07","3.87","9.78","上市光電","LED封裝","LED,LED封裝",專為Avago及Osram代工之LED封裝廠
199	,"6173.TW","信昌電","306.5","1.32","11580","99","12.55","0","8.26","1.6","0.99","3.9","40.92","1.44","0.24","0","1.23","-0.71","4.84","上櫃電子零組件","MLCC","被動元件,MLCC,晶片電阻,被動元件上游",華新科旗下的MLCC及瓷粉原料供應商
200	,"6179.TW","亞通","36.6","4.27","6041","81","11.7","0","6.95","1.33","-11.7","-4.19","32.37","-8.87","-17.41","-7.88","0.01","0.33","3.37","上櫃其他","工程顧問","營造工程,工程顧問",海外以菲律賓為主，從事能源工程相關業務
201	,"6187.TW","萬潤","1195","-0.83","1100","96","16.43","0","-6.7","-0.91","-1.24","-6.64","-16.43","-13.45","-10.97","-6.76","-4.56","1.59","-6.64","上櫃半導體","封測用設備","設備儀器商,封測用設備",半導體及被動元件設備領導廠商
202	,"6196.TW","帆宣","565","2.91","1521","90","4.24","0","8.77","0.65","9.5","5.61","13.57","4.01","7.01","1.81","2.65","-0.42","11.46","上市其他電子","廠務工程","電子其他,半導體製程設備,系統整合,軟體業,設備儀器商,廠務工程",專注於設備工程及耗材代理的廠商
203	,"6197.TW","佳必琪","320","1.11","994","89","14.32","0","4.01","0.2","5.09","6.31","3.9","12.27","2.59","0.55","-7.56","-4.2","6.71","上市電子零組件","連接器","連接器,電子零件元件",國內連接器及線束廠
204	,"6199.TW","天品","124","1.64","5881","76","0","0","20.88","1.56","18.1","27.44","34.2","0.65","1.73","1.93","1.61","1.35","11.08","上櫃其他","殯葬服務","服務業,殯葬服務,地產,物業投資發展",專營基督徒塔位銷售及殯葬服務
205	,"6209.TW","今國光","79.9","2.44","5832","91","17.8","0","0.74","0.21","2.44","-1.36","4.44","4.39","-0.93","-2.5","-1.29","-1.61","1.42","上市光電","光學鏡片／頭","光學鏡片/頭,光學元件",台灣光學鏡片、鏡頭製造商
206	,"6213.TW","聯茂","595","9.98","16800","99","0","0","12.01","0.3","20.2","14.64","5.68","30.45","14.75","2.04","-0.59","0.69","12.77","上市電子零組件","銅箔基板","軟板基板,銅箔基板,印刷電路板相關",全球前十大銅箔基板廠之一
207	,"6214.TW","精誠","190.5","0.26","2488","89","2.06","0","1.59","0.21","-1.3","1.6","4.38","14.43","11.6","6.14","12.39","15.3","3.98","上市資訊服務","系統整合","系統整合,軟體業,軟體通路／代理,雲端科技,Internet技術與基礎設施",金融服務、科技整合及加值服務系統業者
208	,"6218.TW","豪勉","63.6","3.75","1930","97","6.06","1","27.23","2.42","13.57","37.81","59.2","7.05","1.09","0.6","3.03","3.16","7.98","上櫃通信網路","系統整合","半導體製程設備,系統整合,軟體業,設備儀器商",專注通訊網路系統整合服務與半導體/LED設備解決方案領域
209	,"6224.TW","聚鼎","82.2","0","842","86","13.47","0","-2.4","0.36","-4.97","-7.64","7.87","-1.9","0.24","2.59","3.54","1.43","-2.44","上市電子零組件","熱敏電阻","LED,LED散熱基板,被動元件,熱敏電阻",全球第二大PPTC保護元件大廠
210	,"6226.TW","光鼎","44","3.04","2311","99","3.72","1","20.94","1.83","0.34","34.97","42.16","6.27","-0.5","1.07","0.3","0.06","6.84","上市光電","LED封裝","LED,LED封裝",專注於LED照明市場之封裝業者
211	,"6227.TW","茂綸","135.5","0.74","892","80","1.45","0","10.03","0.43","-1.45","16.81","8.4","9.08","-3.43","5.18","0.4","0.31","6.27","上櫃電子通路","IC零組件通路商","IC零組件通路商,電子通路,軟體業,軟體通路／代理",日Macnica集團旗下電子通路大廠
212	,"6245.TW","立端","85.7","1.3","491","64","6.24","0","4","0.12","1.54","2.88","2.39","-1.02","11.12","9.13","4.64","4.18","5.22","上櫃通信網路","資安設備","用戶端設備,網通設備,資安設備",專攻網路安全設備廠商
213	,"6257.TW","矽格","243","-1.62","11564","90","10.99","0","9.62","0.89","9.21","11.98","19.12","-26.52","16.11","16.62","7.34","-0.88","7.05","上市半導體","IC測試","IC封裝,IC測試,IC封裝測試",RF及混合IC專業測試廠商
214	,"6278.TW","台表科","212","1.44","6719","90","14","0","8.58","0.15","15.22","10.7","2.91","-6.33","6.62","4.33","2.33","-0.37","9.17","上市光電","電子製造服務","LED,LED照明產品,電子製造服務,電腦系統業",全球知名光電產品之SMT代工廠
215	,"6426.TW","統新","389","-0.64","4892","99","0.64","0","23.03","2.09","7.16","20.81","49.9","-11.86","-1","0.9","3.86","2.44","8.27","上市通信網路","光纖零組件","光通訊,光纖零組件",台灣光通訊元件濾光片廠商
216	,"6456.TW","GIS-KY","81.3","3.44","14497","82","10.76","0","17.93","0.69","24.88","26.83","13.23","1.61","15.57","14.15","7.07","5.51","12.25","上市光電","觸控面板","面板業,觸控面板",鴻海集團旗下觸控面板模組廠
217	,"6505.TW","台塑化","87.2","-0.11","10807","94","6.44","0","6.3","0.89","1.16","1.16","19.94","2.85","9.7","4.36","6.59","4.29","5.19","上市油電燃氣","煉油","烯烴類,塑化原料,煉油,石油及天然氣,油品儲運/分銷",台灣最大的民營輕油裂解廠
218	,"6526.TW","達發","840","0","4581","85","0","0","25.65","1.75","33.55","30.84","37.7","-6.42","18.95","17.91","12.37","6.57","12.64","上市半導體","無線網路IC","無線網路IC,衛星導航晶片組,IC設計,網路通訊IC,射頻前端晶片",聯發科旗下無線通訊與固網通訊之晶片設計公司
219	,"6531.TW","愛普*","993","0.61","3109","94","16.55","0","4.42","0.4","7.93","-3.59","8.29","-1.03","7.18","-0.21","2.1","0.65","5.86","上市半導體","SRAM記憶體IC","DRAM記憶體IC,SRAM記憶體IC,IC設計,設計IP",從事行動記憶體IC設計及IP設計的公司
220	,"6533.TW","晶心科","276","9.96","6688","77","10.1","0","8.7","0.15","9.74","12.2","2.79","38.43","19.48","16.21","7.3","2.38","7.89","上市半導體","設計IP","IC設計,設計IP",聯發科旗下嵌入式微處理器核心IP設計公司
221	,"6538.TW","倉和","398","-3.05","2515","99","10.66","0","19.27","2.71","12.75","17.58","79.28","3.74","0.42","1.07","6.65","5.35","4.56","上櫃電子零組件","電子其他","電子其他",國內最大的太陽能精密網版廠
222	,"6547.TW","高端疫苗","59.8","-1.64","2525","88","12.19","0","-2.61","-0.27","-1.48","-2.61","-5.23","-17.39","-3.22","-0.72","-5.03","-0.77","-3.36","上櫃生技醫療","生物製劑","醫藥產業,生物製劑",專注於疫苗及生物製劑開發的生技新藥公司
223	,"6668.TW","中揚光","47.55","1.28","2273","74","5.47","0","8.03","0.53","6.14","15.83","10.71","-2.86","-0.88","0.36","-0.47","0.17","5.75","上市光電","模具","光學鏡片/頭,光學元件,機械零組件,模具",鴻海集團轉投資的光學鏡片模具廠
224	,"6672.TW","騰輝電子-KY","337.5","9.93","15310","96","0","0","14.55","0.96","14.99","12.88","19.89","22.47","15.04","8.06","4.57","0.52","13.94","上市電子零組件","銅箔基板","LED,LED散熱基板,銅箔基板,印刷電路板相關",於大陸生產的台資銅箔基板廠
225	,"6715.TW","嘉基","468.5","1.96","561","99","17.66","1","26.49","1.6","18.91","39.23","33.29","10.16","1.61","3.53","0.47","-2.23","9.37","上市電子零組件","連接線材","電子零件元件,連接線材,傳輸介面,Thunderbolt",嘉澤轉投資之高速連接線器廠商
226	,"6770.TW","力積電","72","-1.5","95568","93","18.83","0","1.07","0.17","1.12","-2.04","3.45","-41.89","7.07","-0.15","4.17","-0.1","2.03","上市半導體","晶圓代工","晶圓代工,IC製造",全球前十大晶圓代工廠之一
227	,"6805.TW","富世達","2530","-2.69","1046","94","2.69","0","12.29","0.68","21.05","15.53","13.71","-8.41","9.31","5.96","3.22","3.64","8.74","上市電子零組件","樞紐","樞紐,電子零件元件",全球精密軸承製造領導商之一
228	,"6834.TW","天二科技","116","2.2","5943","99","12.12","0","14.8","1.22","14.29","9.95","26.64","4.68","1.54","1.05","1.9","-1.2","8.63","上市電子零組件","晶片電阻","被動元件,晶片電阻",被動元件貼片電阻製造商
229	,"6885.TW","全福生技","31.15","2.98","1319","80","5.61","0","16.09","1.61","5.59","18.67","37.53","9.7","-8.33","-4.26","-3.88","-5.22","7.51","上市生技醫療","新藥研發","醫藥產業,新藥研發",眼科疾病治療藥物研發廠
230	,"6902.TW","GOGOLOOK","176.5","4.75","1145","93","0","0","30.81","1.87","37.35","39.53","38.98","-7.07","-5.03","-4.75","-4.38","-2.74","12.22","上市數位雲端","應用軟體","軟體業,應用軟體",全球數位防詐及風險管理服務商
231	,"6933.TW","AMAX-KY","385","10","6076","99","0","0","20.32","2.38","11.43","14.58","62.79","-4.48","-3.89","-2.26","2.48","3.68","12.5","上市電腦及週邊設備","伺服器","伺服器,系統整合,軟體業,電腦系統業",提供AI高效能運算、高密度伺服器和存儲、液冷整機櫃解決方案
232	,"8021.TW","尖點","480","0.42","950","97","17.38","1","7.05","0.65","6.67","9.59","13.61","19.68","4.25","3.54","0.71","-1.1","8.39","上市其他電子","雷射鑽孔機、鑽頭","雷射鑽孔機、鑽頭,印刷電路板相關,電子製造服務,電腦系統業",全球前三大PCB鑽針生產商之一
233	,"8046.TW","南電","1240","2.48","13911","99","12.37","0","10.47","-0.24","16.43","15.89","-4.25","2.56","5.58","4.67","-1.78","-0.83","8.11","上市電子零組件","IC基板","印刷電路板,印刷電路板相關,HDI板,IC基板,封測服務與材料",台塑集團旗下PCB載板與IC載板製造商
234	,"8050.TW","廣積","61.2","3.2","2318","76","11.3","0","7.08","0.34","3.9","11.07","6.81","33.65","17.6","17.15","7.77","-0.11","11.64","上櫃電腦及週邊設備","工業電腦","主機板,工業電腦,電腦系統業",以工業級嵌入式系統為主之工業電腦廠商
235	,"8064.TW","東捷","139","4.51","14202","94","19.42","0","15.4","4.38","6.92","9.88","33.01","2.2","0.29","1.62","0.91","-0.17","6.9","上櫃光電","面板設備","半導體製程設備,設備儀器商,LED設備,面板設備",志聖轉投資的顯示器設備商
236	,"8103.TW","瀚荃","123","-0.4","2944","92","6.82","0","2.31","0.38","-6.82","11.82","7.89","-7.98","-9.19","-3.43","-1.7","-0.65","2.17","上市電子零組件","連接器","連接器,電子零件元件,連接線材",各種應用之連接器及線纜組件廠
237	,"8111.TW","立碁","76.4","3.1","6507","88","5.56","0","5.06","0.83","3.95","7.3","18.63","-8.02","-2.06","-1.2","-0.85","-0.38","4.59","上櫃光電","LED封裝","LED,LED封裝,LED照明產品",台灣LED元件生產商及封裝大廠
238	,"8112.TW","至上","83.5","1.09","2894","85","16.92","0","-3.29","-1.76","0.85","-2.79","-9.44","-13.03","-33.03","-30.89","-30.73","-0.87","-3.99","上市電子通路","IC零組件通路商","IC零組件通路商,電子元件代理商,電子通路",主要代理品牌以Samsung為主之IC通路商
239	,"8150.TW","南茂","112","4.67","83883","95","8.57","0","20.48","1.18","29.18","23.21","24.03","13.98","13.67","10.12","8.95","-0.67","12.76","上市半導體","LCD驅動IC封裝","IC封裝,IC測試,金、錫凸塊,IC封裝測試,LCD驅動IC封裝,封測服務與材料",全球前3大LCD驅動IC封測廠
240	,"8215.TW","明基材","27.9","0.18","1085","63","14.42","0","6.47","0.59","3.33","11.38","12.27","-12.26","1.31","-0.3","-0.22","-2.59","6.06","上市光電","偏光板","面板零組件,偏光板",全球前五大、台灣第一大偏光板供應商
241	,"8227.TW","巨有科技","306.5","-1.13","984","93","1.13","1","37.32","3.39","18.8","40.92","91.56","-26.32","1.2","6.9","10.43","5.62","7.38","上櫃半導體","ASIC","IC設計,ASIC",台灣最早成立之IC 設計服務公司
242	,"8415.TW","大國鋼","35.45","0.85","197","56","8.28","0","-1.45","-0.25","1.87","-2.48","-4.83","1.52","-2.72","-6.26","-5.35","5.33","-2.38","上櫃鋼鐵","螺絲螺帽","螺絲螺帽,線材盤元",大成鋼轉投資之大型螺絲螺帽配銷商
243	,"8431.TW","匯鑽科","63.3","0.16","655","82","19.67","0","2.83","1.31","-2.31","5.15","33.54","-0.31","-0.91","-1.78","4.83","3.78","2.03","上櫃其他電子","機殼表面處理","機殼表面處理,電子零件元件",亞太知名表面處理大廠
244	,"8996.TW","高力","1530","-0.65","2887","97","7.55","0","15.38","0.84","17.69","17.69","16.79","-12.57","5.77","1.73","-1.79","-3.24","7.69","上市電機機械","金屬加工／製品","傳產其他,金屬加工/製品",台灣唯一製造硬銲型不銹鋼板式熱交換器廠
245	,"9921.TW","巨大","90.6","0.33","647","63","18.74","0","-4.54","-0.75","0.67","-6.89","-13.71","7.88","0.76","-9.1","-7.69","6.53","-4.19","上市運動休閒","自行車","車輛整車,自行車,自行車零件,產業機械",全球最大自行車生產廠商
246	,"9933.TW","中鼎","41","-0.24","1285","68","6.29","0","-0.07","-0.07","-3.3","1.61","-1.44","-0.23","-8.75","13.19","-0.19","3.06","-0.16","上市其他","工程顧問","營造工程,工程顧問",台灣最大統包工程公司
247	,"9945.TW","潤泰新","29.9","1.18","13128","62","2.29","0","5.24","0.23","3.28","7.75","4.55","4.26","6.98","8.27","-1.06","5.98","12.2","上市其他","營建","水泥,營建,地產",潤泰集團旗下建商
